win,lose,probability
Toronto Raptors,Sacramento Kings,0.7539737503990428
Charlotte Hornets,Memphis Grizzlies,0.7511472365075618
Detroit Pistons,Houston Rockets,0.5909651357380769
Golden State Warriors,Indiana Pacers,0.708451956103952
Los Angeles Clippers,Toronto Raptors,0.5667535925563204
Orlando Magic,Milwaukee Bucks,0.5308103318886861
Boston Celtics,Minnesota Timberwolves,0.6834861904109655
Miami Heat,Philadelphia 76ers,0.9302677602654816
San Antonio Spurs,Dallas Mavericks,0.9035322188299342
Washington Wizards,Phoenix Suns,0.7808620423414138
Atlanta Hawks,New Orleans Pelicans,0.8312024502286235
Chicago Bulls,Denver Nuggets,0.5868504504077459
Oklahoma City Thunder,Los Angeles Lakers,0.9369602419436217
Portland Trail Blazers,New York Knicks,0.7744425732170727
Boston Celtics,Brooklyn Nets,0.8479486042900819
San Antonio Spurs,Charlotte Hornets,0.6076530290327451
Cleveland Cavaliers,Portland Trail Blazers,0.7664037237961833
Los Angeles Clippers,Dallas Mavericks,0.5929994722377727
Detroit Pistons,Miami Heat,0.5050616410350295
Golden State Warriors,Los Angeles Lakers,0.9793478936526382
Toronto Raptors,Houston Rockets,0.6219034002877428
Indiana Pacers,Atlanta Hawks,0.5967209445126708
Minnesota Timberwolves,New Orleans Pelicans,0.5057847385564906
Orlando Magic,Phoenix Suns,0.6892947172258305
Memphis Grizzlies,Philadelphia 76ers,0.8711327290312085
Oklahoma City Thunder,Sacramento Kings,0.7882491044177234
Utah Jazz,Denver Nuggets,0.7011753274278666
San Antonio Spurs,Boston Celtics,0.5990546767358986
Cleveland Cavaliers,Dallas Mavericks,0.852796000480726
Oklahoma City Thunder,Denver Nuggets,0.7928261813119253
Los Angeles Clippers,Detroit Pistons,0.5327150886871326
Indiana Pacers,Brooklyn Nets,0.8742740198607609
Golden State Warriors,Los Angeles Lakers,0.9627951466624164
Miami Heat,Memphis Grizzlies,0.642795993261772
Toronto Raptors,Milwaukee Bucks,0.7866516937967307
Charlotte Hornets,New York Knicks,0.7193748295384084
Washington Wizards,Orlando Magic,0.5380902212390432
Chicago Bulls,Philadelphia 76ers,0.8981552584513385
Minnesota Timberwolves,Phoenix Suns,0.6388980766986494
Portland Trail Blazers,New Orleans Pelicans,0.8020506721033909
Houston Rockets,Sacramento Kings,0.5961683506619109
Atlanta Hawks,Utah Jazz,0.5054764446258226
Charlotte Hornets,New York Knicks,0.8011910597758878
Golden State Warriors,Minnesota Timberwolves,0.9614970032934337
Miami Heat,Memphis Grizzlies,0.7420397861055936
Oklahoma City Thunder,Detroit Pistons,0.8562419601568882
San Antonio Spurs,Washington Wizards,0.7303279920085075
Sacramento Kings,Brooklyn Nets,0.7117873461683928
Dallas Mavericks,New Orleans Pelicans,0.7062381111557101
Indiana Pacers,Los Angeles Clippers,0.523114299403967
Atlanta Hawks,Los Angeles Lakers,0.8780083176048172
Orlando Magic,Milwaukee Bucks,0.6114148077184607
Cleveland Cavaliers,Philadelphia 76ers,0.9653450197917989
Denver Nuggets,Phoenix Suns,0.6414478853502842
Portland Trail Blazers,Houston Rockets,0.6557932277242924
Golden State Warriors,Atlanta Hawks,0.9114830172859795
Charlotte Hornets,Memphis Grizzlies,0.619954576386601
Miami Heat,Boston Celtics,0.6073055505223526
Utah Jazz,Minnesota Timberwolves,0.6178335817176983
Oklahoma City Thunder,New York Knicks,0.8343390734596096
Toronto Raptors,Philadelphia 76ers,0.9565838588580708
Washington Wizards,Sacramento Kings,0.6769595515130695
Los Angeles Clippers,Brooklyn Nets,0.8731494706237701
Charlotte Hornets,Detroit Pistons,0.6993241310494986
Cleveland Cavaliers,Milwaukee Bucks,0.8400243148869082
New Orleans Pelicans,Los Angeles Lakers,0.6498031984433404
San Antonio Spurs,Orlando Magic,0.9347061603656535
Utah Jazz,Houston Rockets,0.5443332426630075
Boston Celtics,Detroit Pistons,0.7068245341812378
Chicago Bulls,Los Angeles Lakers,0.7982860935537153
San Antonio Spurs,Dallas Mavericks,0.747907574798972
Miami Heat,Denver Nuggets,0.6824115692606135
Minnesota Timberwolves,New York Knicks,0.5348863746368988
Oklahoma City Thunder,Washington Wizards,0.8606124350887648
Atlanta Hawks,Phoenix Suns,0.8109908772149458
Portland Trail Blazers,Indiana Pacers,0.6343767946862214
Toronto Raptors,Memphis Grizzlies,0.822221220518293
Milwaukee Bucks,Brooklyn Nets,0.6718972224778361
Charlotte Hornets,Dallas Mavericks,0.6898647424278719
Cleveland Cavaliers,Los Angeles Clippers,0.7739692478280907
Golden State Warriors,Houston Rockets,0.9263266012308601
Memphis Grizzlies,Orlando Magic,0.5526185930707583
Miami Heat,Utah Jazz,0.5423754739210298
Atlanta Hawks,Detroit Pistons,0.7132141096620681
Boston Celtics,Sacramento Kings,0.791599434619644
Cleveland Cavaliers,Chicago Bulls,0.7380410595669373
Houston Rockets,Denver Nuggets,0.602805205458901
Los Angeles Clippers,New Orleans Pelicans,0.7700005813019538
Minnesota Timberwolves,New York Knicks,0.5014119746716116
Orlando Magic,Philadelphia 76ers,0.8571763223714982
San Antonio Spurs,Washington Wizards,0.9103292522909051
Toronto Raptors,Los Angeles Lakers,0.9260038356187313
Charlotte Hornets,Minnesota Timberwolves,0.8113523800277161
Dallas Mavericks,Chicago Bulls,0.5470682391537168
Golden State Warriors,Phoenix Suns,0.9731026183557008
Memphis Grizzlies,Los Angeles Lakers,0.7479433881499167
Milwaukee Bucks,Brooklyn Nets,0.6842335653304795
